   ,COD_DOCUMENTO,DES_NOME_PREFERIDO,DES_NOMES_ALTERNATIVOS,DBMS_LOB.SUBSTR(S01.TXT_EMENTA
148,540921,Lei nº 47 de 29/04/1935,LEI-47-1935-04-29,"Autoriza o Poder Executivo a abrir, pelo Ministerio da Justiça e Negocios Interiores, o credito especial de 28:567$741, para pagamento de vencimentos ao funccionario da Secretaria da Camara dos Deputados Eloy Pontes"
149,541142,Lei nº 140 de 16/12/1935,LEI-140-1935-12-16,"Fica aberto, pelo Ministerio da Justiça e Negocios anteriores, o credito de 195:835$000, supplementar a sub-consignação n. 6 (Policia Militar do Districto Federal)"
150,541179,Lei nº 157 de 26/12/1935,LEI-157-1935-12-26,"Autoriza a abertura do credito de 24.000:000$, supplementar do orçamento vigente do Ministerio da Viação."
151,540859,Lei nº 25 de 14/02/1935,LEI-25-1935-02-14,"Autoriza o Poder Executivo a entrar em accôrdo com os herdeiros do ex-Imperador do Brasil, D. Pedro II. para acquisição da corôa imperial e dá outras providencias"
152,541000,Lei nº 77 de 01/07/1935,LEI-77-1935-07-01,Altera a idade para a matricula dos capitães combatentes do Exercito da Escola de Estado-Maior
153,540876,Lei nº 31 de 23/02/1935,LEI-31-1935-02-23,"Revigora, com exclusão do seu paragrapho unico, o art. 3º do decreto nº 12.982, de 24 de abril de 1918, e revoga o decreto nº 16.739-A, de 31 de dezembro de 1924"
154,540849,Lei nº 22 de 09/02/1935,LEI-22-1935-02-09,"Autoriza a permuta do terreno onde existe o edificio do Ministerio da Viação e Obras Publicas, ora em demolição, com a Prefeitura do Distrito Federal"
155,541169,Lei nº 152 de 21/12/1935,LEI-152-1935-12-21,"Autoriza a cessão, por aforamento, ao Club de Regatas Flamengo, de uma área de terreno"
156,541027,Lei nº 88 de 10/08/1935,LEI-88-1935-08-10,"Abre o credito especiel de 300:000$000, para occorrer ás despezas com o combate á raiva em varias zonas do paiz"
157,541086,Lei nº 113 de 06/11/1935,LEI-113-1935-11-06,Proroga até 31 de dezembro de 1936 o regimen que regula a concessão de ajudas de custo aos membros dos Corpos Diplomatico e Consular
158,541079,Lei nº 110 de 31/10/1935,LEI-110-1935-10-31,Autoriza operações de credito para execução do accordo financeiro entre o Brasil e a Inglaterra
159,541084,Lei nº 112 de 05/11/1935,LEI-112-1935-11-05,Concede pensão vitalicia a professores da Faculdade de Direito da Universidade do Rio de Janeiro
160,541126,Lei nº 132 de 09/12/1935,LEI-132-1935-12-09,Autoriza o Governo a adquirir a bibliotheca que pertenceu ao Ministro Ronald de Carvalho
161,541155,Lei nº 146 de 19/12/1935,LEI-146-1935-12-19,"Concede prazo de móra para que se possam, quitar os requerentes on concessionarios ou cessionarios de patentes de invenção e modelos de utilidade, que se acharem em atrazo de pagamento"
162,541177,Lei nº 156 de 24/12/1935,LEI-156-1935-12-24,Regula o funcionamento do Tribunal de Contas
163,540932,Lei nº 51 de 14/05/1935,LEI-51-1935-05-14,Dispõe sobre reajustamento de vencimentos dos militares   ;
